Nom_rue
derriere l hale de st laurent
au pas des anes
rue de la mercerie
au bugnon
en couvaloup
a mon repos
rue du grand chene
faubourg de la barre
chemin neuf
derriere le chateau
en georgette
la caroline
chemin du moulin
chemin des eaux
le vallentin
ruelle de st pierre
place du pont
rue du pont
place de la palud
rue de la madelaine
Rue des escaliers du marche
Sus le cret
place de la riponne
montee de st laurent
placette de st jean
rue du grand st jean
en pepinet
rue du petit st jean
derriere les chenaux
rue du pre
rue de chaucrau
la madelaine
rue de la cite devant
rue de la cite derriere
rue de st etienne
rue de l hopital
en st etienne
cite dessous
st etienne
sur st mauv
rue de la cite derriere
place du college
le chemin neuf
ruelle publique
rue de bourg
place de st francois
chemin public
rue cheneau de bourg
au rotillon
derriere la rue du pre
descente de st pepinet
montee de st francois
place de st laurent
rue de st laurent
chemin de derriere les terraux
derriere st laurent
rue de l hale de st laurent
route de lausanne
derriere l halle de st laurent
pre du marche
derriere chaucrau
chemin derriere bourg
rue de st pierre
rue de martheray
rue d etraz
chemin derriere etraz
chemin public dit de georgette
chemin de georgette
chemin public de lausanne a oron
route de coppet
chemin de couvaloup
escalier de la caroline
