X,Y,toponyme,numero,topo_actue
6.63653580903916,46.5199073856977,Rue de St-Pierre,"4",Rue de Bourg
6.63660246569543,46.5198888438727,Rue de St-Pierre,"5",Rue de Bourg
6.63664784895077,46.5198624949525,Rue de St-Pierre,"6",Rue de Bourg
6.6367074144734,46.5198341942462,Rue de St-Pierre,"7",Rue de Bourg
6.63769450027692,46.519516054258,Rue d'Etraz,"1",Rue Etraz
6.63776824806684,46.5194945846212,Rue d'Etraz,"2",Rue Etraz
6.63785192344386,46.5194711631895,Rue d'Etraz,"3",Rue Etraz
6.6379072342863,46.51946530783,Rue d'Etraz,"4",Rue Etraz
6.63796679980892,46.5194555488961,Rue d'Etraz,"5",Rue Etraz
6.63803203823846,46.5194506694284,Rue d'Etraz,"6",Rue Etraz
6.63809444021454,46.5194448140668,Rue d'Etraz,"7",Rue Etraz
6.63813840524315,46.5194340792353,Rue d'Etraz,"8",Rue Etraz
6.63818378849848,46.5194331033414,Rue d'Etraz,"9",Rue Etraz
6.63822775352709,46.5194272479778,Rue d'Etraz,"10",Rue Etraz
6.63828022791606,46.5194174890371,Rue d'Etraz,"11",Rue Etraz
6.63832702939813,46.519412609566,Rue d'Etraz,"12",Rue Etraz
6.63837808556038,46.5194008988338,Rue d'Etraz,"13",Rue Etraz
6.63851139887292,46.5193745496769,Rue d'Etraz,"14",Rue Etraz
6.63859791070339,46.5193667425169,Rue d'Etraz,"15",Rue Etraz
6.63760595029258,46.5193669912059,Rue d'Etraz,"44",Rue Etraz
6.63773271897796,46.5193542700581,Rue d'Etraz,"43",Rue Etraz
6.6378145904206,46.5193451835222,Rue d'Etraz,"42",Rue Etraz
6.63786080817049,46.5193406402536,Rue d'Etraz,"41",Rue Etraz
6.63792551302031,46.5193324623693,Rue d'Etraz,"40",Rue Etraz
6.6380892559056,46.5193124719801,Rue d'Etraz,"39",Rue Etraz
6.63819357596961,46.5192988421652,Rue d'Etraz,"37",Rue Etraz
6.63828748794429,46.5192752570275,Rue d'Etraz,"36",Rue Etraz
6.63842933410886,46.5192571818696,Rue d'Etraz,"35",Rue Etraz
6.63851864465693,46.5192391067056,Rue d'Etraz,"34",Rue Etraz
6.63869201219142,46.5192077764072,Rue d'Etraz,"30",Rue Etraz
6.63901423063935,46.519143910743,Rue d'Etraz,"29",Rue Etraz
6.6392232994317,46.5190952523007,Rue d'Etraz,"28",Rue Etraz
6.6395694436779,46.5198869830577,Villamont,"16",Avenue Mont-Repos
6.63967193331521,46.5192283171,Rue d'Etraz,"17",Rue Etraz
6.64075323086366,46.5187550346158,Route de Veveÿ,"23",Avenue Mont-Repos
6.63972028851072,46.5189363472511,Rue d'Etraz,"24",Rue Etraz
6.63946800950998,46.5190781178795,Rue d'Etraz,"25",Rue Etraz
